round,rank,value [m],points behind [m],Points/round [m],game
2,1,54.0,0.0,2.0,SL
2,10,53.7,0.3,1.9,SL
2,50,53.4,0.6,1.7,SL
2,100,53.3,0.7,1.7,SL
2,500,53.0,1.0,1.5,SL
2,1000,52.8,1.2,1.4,SL
2,5000,52.1,2.0,1.0,SL
2,10000,49.6,4.4,-0.2,SL
2,25000,49.6,4.4,-0.2,SL
9,1,60.0,0.0,1.1,SA
9,10,59.6,0.4,1.1,SA
9,50,59.2,0.8,1.0,SA
9,100,58.9,1.1,1.0,SA
9,500,57.9,2.1,0.9,SA
9,1000,56.8,3.2,0.8,SA
9,5000,52.3,7.8,0.3,SA
9,10000,52.3,7.8,0.3,SA
9,25000,52.3,7.8,0.3,SA
9,1,63.8,0.0,1.5,PL
9,10,63.0,0.8,1.4,PL
9,50,62.5,1.3,1.4,PL
9,100,62.3,1.5,1.4,PL
9,500,61.6,2.2,1.3,PL
9,1000,61.1,2.7,1.2,PL
9,5000,59.1,4.7,1.0,PL
9,10000,56.0,7.8,0.7,PL
9,25000,52.3,11.5,0.3,PL
9,1,58.7,0.0,1.0,LL
9,10,58.4,0.3,0.9,LL
9,50,57.7,1.0,0.9,LL
9,100,57.4,1.3,0.8,LL
9,500,56.0,2.7,0.7,LL
9,1000,54.6,4.1,0.5,LL
9,5000,50.9,7.8,0.1,LL
9,10000,50.9,7.8,0.1,LL
9,25000,50.9,7.8,0.1,LL
1,1,51.9,0.0,1.9,CLK
1,10,51.7,0.2,1.7,CLK
1,50,51.5,0.4,1.5,CLK
1,100,51.4,0.5,1.4,CLK
1,500,51.0,1.0,1.0,CLK
1,1000,50.7,1.3,0.7,CLK
1,5000,49.8,2.1,-0.2,CLK
1,10000,49.8,2.1,-0.2,CLK
1,25000,49.8,2.1,-0.2,CLK
7,1,60.6,0.0,1.5,CL
7,10,60.2,0.4,1.5,CL
7,50,59.8,0.8,1.4,CL
7,100,59.5,1.1,1.4,CL
7,500,58.7,1.9,1.2,CL
7,1000,58.2,2.4,1.2,CL
7,5000,55.5,5.1,0.8,CL
7,10000,48.6,12.0,-0.2,CL
7,25000,48.6,12.0,-0.2,CL
7,1,57.7,0.0,1.1,BL
7,10,56.4,1.3,0.9,BL
7,50,55.8,1.9,0.8,BL
7,100,55.5,2.2,0.8,BL
7,500,54.4,3.4,0.6,BL
7,1000,53.6,4.1,0.5,BL
7,5000,51.1,6.6,0.2,BL
7,10000,51.1,6.6,0.2,BL
7,25000,51.1,6.6,0.2,BL
