game,team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25
CLK,Bayern München,Li,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Real Madrid,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Paris SG,Li,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Manchester City,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,AC Milan,Li,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Borussia Dortmund,,Li,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Tottenham,Li,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Napoli,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Liverpool,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,RB Leipzig,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Internazionale,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Chelsea,,Li,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Benfica,,Li,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,FC Porto,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Eintracht Frankfurt,,,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
CLK,Club Brügge,,Li,NoGW,NoGW,NoGW,NoGW,,,,,,,,,,,,,,,,,,,
PL,Manchester City,,,,DGW,,,DGW,,,Li,,NoGW,Li,,,,,,,,,,,,
PL,Arsenal,,,,,,,DGW,Li,DGW,,,,,,,Li,,,,,,,,,
PL,Liverpool,,Li,Li,,Li,,,,DGW,,Li,NoGW,"DGW, Li",,,,,,,,,,,,
PL,Tottenham,Li,,,DGW,,,,,,,,,,,,,,,,,,,,,
PL,Manchester Utd,,,,DGW,,DGW,,,NoGW,,,NoGW,DGW,Li,,,,,,,,,,,
PL,Chelsea,,,,"DGW, Li",Li,Li,Li,,,,,,DGW,,,,,,,,,,,,
PL,Newcastle,,,,,,,,,NoGW,Li,,Li,DGW,,Li,,,,,,,,,,
PL,Leicester City,,Li,,,,,,,,,,,DGW,,,,Li,,,,,,,,
PL,Brentford,Li,Li,Li,,,,,,NoGW,,DGW,,DGW,,,,,,,,,,,,
PL,Fulham,,,,"DGW, Li",,Li,,,Li,,,NoGW,,,,,Li,,,,,,,,
PL,Aston Villa,,,,,,,,Li,,,,,DGW,,Li,,Li,,,,,,,,
PL,West Ham,,Li,,,,,Li,,,,,NoGW,DGW,,,,,Li,,,,,,,
PL,Brighton and Hove,,,,,,,,,NoGW,,DGW,NoGW,DGW,,,,,,,,,,,,
PL,Crystal Palace,,,,DGW,,,,,,,DGW,,,,,,Li,Li,,,,,,,
PL,Wolverhampton,,,,,,,,,"DGW, Li",,,,,,,,Li,,,,,,,,
PL,Bournemouth,,,,,,,,,,,Li,,DGW,,,,Li,,,,,,,,
PL,Nottingham Forest,,,,,,,,,,,,Li,DGW,,,,,,,,,,,,
PL,Everton,,,,,,,,,DGW,,,,,Li,,,,,,,,,,,
PL,Southampton,,,,,,,,,,,DGW,,,,,Li,Li,,,,,,,,
PL,Leeds United,,,,,,DGW,,,,,,,DGW,,,,Li,,,,,,,,
LL,Real Madrid,,,NoGW,,DGW,,,,,,,,,,,,,,,,,,,,
