league,game,player,team,pos_cat,value,starter_prob_GW1,gs%,gp%,StartsIARow
1. Premier League,Premier Manager Forår 2023,Aaron Ramsdale,Arsenal,G,6341000,0.9713,0.5,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Gabriel Magalhaes,Arsenal,F,5576000,0.9354999999999999,0.5,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,William Saliba,Arsenal,F,5096000,0.9354999999999999,0.5,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Ben White,Arsenal,F,5064000,0.9354999999999999,0.45,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Oleksandr Zinchenko,Arsenal,F,4805000,0.9354999999999999,0.45,0.8403636363636363,1.0
1. Premier League,Premier Manager Forår 2023,Bukayo Saka,Arsenal,M,8526000,0.9354999999999999,0.5,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Martin Ødegaard,Arsenal,M,8076000,0.9354999999999999,0.5,0.9123636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Granit Xhaka,Arsenal,M,5476000,0.9354999999999999,0.5,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Gabriel Martinelli,Arsenal,A,7696000,0.9,0.45,0.9243636363636364,1.0
1. Premier League,Premier Manager Forår 2023,Thomas Teye Partey,Arsenal,M,4838000,0.8009999999999999,0.4,0.737090909090909,0.0
1. Premier League,Premier Manager Forår 2023,Leandro Trossard,Arsenal,M,5976000,0.8,0.3636363636363636,0.773090909090909,1.0
1. Premier League,Premier Manager Forår 2023,Edward Nketiah,Arsenal,A,5506000,0.3,0.45,0.9003636363636364,0.0
1. Premier League,Premier Manager Forår 2023,Jorginho,Arsenal,M,4696000,0.0475,0.4,0.8367272727272728,1.0
1. Premier League,Premier Manager Forår 2023,Matt Turner,Arsenal,G,4445000,0.0,,,0.0
1. Premier League,Premier Manager Forår 2023,Karl Hein,Arsenal,G,3945000,0.0,,,0.0
1. Premier League,Premier Manager Forår 2023,Takehiro Tomiyasu,Arsenal,F,4223000,0.0,0.0909090909090909,0.6614545454545453,0.0
1. Premier League,Premier Manager Forår 2023,Kieran Tierney,Arsenal,F,4186000,0.0,0.0909090909090909,0.5221818181818182,0.0
1. Premier League,Premier Manager Forår 2023,Rob Holding,Arsenal,F,3086000,0.0,0.0,0.2749090909090909,0.0
1. Premier League,Premier Manager Forår 2023,Jakub Kiwior,Arsenal,F,2970000,0.0,,,0.0
1. Premier League,Premier Manager Forår 2023,Lino Sousa,Arsenal,F,2445000,0.0,,,0.0
1. Premier League,Premier Manager Forår 2023,Fabio Vieira,Arsenal,M,4704000,0.0,0.0,0.6254545454545454,0.0
1. Premier League,Premier Manager Forår 2023,Emile Smith Rowe,Arsenal,M,3529000,0.0,0.0,0.1992727272727272,0.0
1. Premier League,Premier Manager Forår 2023,Mohamed Elneny,Arsenal,M,3021000,0.0,0.0,0.1872727272727272,0.0
1. Premier League,Premier Manager Forår 2023,Ethan Nwaneri,Arsenal,M,2445000,0.0,0.0,0.012,0.0
1. Premier League,Premier Manager Forår 2023,Matthew Smith,Arsenal,M,2445000,0.0,,,0.0
1. Premier League,Premier Manager Forår 2023,Amario Cozier-Duberry,Arsenal,M,1945000,0.0,,,0.0
1. Premier League,Premier Manager Forår 2023,Gabriel Jesus,Arsenal,A,7945000,0.0,0.0,0.168,0.0
1. Premier League,Premier Manager Forår 2023,Reiss Nelson,Arsenal,A,2945000,0.0,0.0,0.024,0.0
1. Premier League,Premier Manager Forår 2023,Emiliano Martinez,Aston Villa,G,4205000,0.9713,0.4,0.7291666666666665,0.0
1. Premier League,Premier Manager Forår 2023,Ezri Konsa Ngoyo,Aston Villa,F,3730000,0.9354999999999999,0.45,0.9097222222222222,0.0
1. Premier League,Premier Manager Forår 2023,Tyrone Mings,Aston Villa,F,3327000,0.9354999999999999,0.45,0.7944444444444444,0.0
1. Premier League,Premier Manager Forår 2023,Douglas Luiz,Aston Villa,M,3436000,0.9354999999999999,0.45,0.8972222222222221,0.0
1. Premier League,Premier Manager Forår 2023,John McGinn,Aston Villa,M,3184000,0.9354999999999999,0.3333333333333333,0.5486111111111112,0.0
1. Premier League,Premier Manager Forår 2023,Boubacar Kamara,Aston Villa,M,2670000,0.9354999999999999,0.45,0.8347222222222223,0.0
1. Premier League,Premier Manager Forår 2023,Ollie Watkins,Aston Villa,A,6044000,0.9354999999999999,0.45,0.8972222222222221,0.0
