player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
R. Kolo Muani,FFM,35.9,36.4,47.0,41.1,,,,,,,-12.0,-34.0,-19.5,41.6,37.0,31.8,-7.2,A,BL
Y. Sommer,BAY,34.2,33.7,35.0,35.7,,,,,,,0.2,15.0,4.3,23.7,31.2,44.6,9.0,G,BL
A. Davies,BAY,30.9,29.8,33.0,32.9,,,,,,,3.1,13.0,5.2,26.8,29.0,33.3,18.0,F,BL
F. Wirtz,B04,27.4,27.0,25.0,25.5,,,,,,,-0.9,-3.0,-2.5,25.9,24.2,32.4,6.3,M,BL
E. N'Dicka,FFM,27.3,29.5,32.0,30.3,,,,,,,-5.9,-10.0,-8.6,32.8,32.7,21.7,-34.2,F,BL
J. Ryerson,BVB,25.1,29.7,42.0,32.3,,,,,,,4.3,4.0,3.8,27.8,29.8,30.7,-72.9,F,BL
A. Buta,FFM,25.0,24.1,30.0,25.1,,,,,,,-17.4,-22.0,-18.3,23.7,25.3,22.4,13.5,F,BL
J. Musiala,BAY,24.2,24.6,13.0,24.8,,,,,,,-1.4,5.0,2.4,26.2,21.4,29.0,-7.2,A,BL
J. Lee,M05,24.0,19.1,38.0,24.3,,,,,,,12.7,27.0,16.9,13.9,18.8,23.2,77.4,M,BL
J. Gvardiol,RBL,22.6,22.7,29.0,25.3,,,,,,,2.8,2.0,4.3,26.8,21.7,21.7,-1.8,F,BL
E. Skhiri,KOE,22.1,24.2,18.0,22.8,,,,,,,1.3,-3.0,0.9,20.8,23.6,27.5,-32.4,M,BL
A. Silva,RBL,21.7,22.6,25.0,23.8,,,,,,,-2.1,-9.0,-2.9,19.2,23.6,23.2,-14.4,A,BL
E. Choupo-Moting,BAY,21.4,20.5,20.0,20.2,,,,,,,1.7,9.0,5.5,13.6,18.8,28.1,14.4,A,BL
D. Szoboszlai,RBL,19.7,19.7,32.0,24.1,,,,,,,-0.2,-6.0,-0.6,17.7,20.0,20.7,-0.9,M,BL
C. Baumgartner,HOF,19.5,20.0,4.0,16.0,,,,,,,-9.0,-15.0,-10.3,21.5,17.8,22.8,-8.1,M,BL
N. Füllkrug,WER,19.4,19.5,36.0,23.1,,,,,,,10.8,30.0,13.9,18.9,20.2,18.8,-0.9,A,BL
J. Lindstrøm,FFM,17.4,17.2,18.0,16.0,,,,,,,-2.3,3.0,-4.6,22.4,18.4,11.7,2.7,M,BL
J. Bynoe-Gittens,BVB,17.2,16.5,17.0,17.8,,,,,,,11.6,12.0,12.5,15.5,19.5,11.9,11.7,A,BL
S. Haller,BVB,14.3,14.7,14.0,14.6,,,,,,,2.2,0.0,2.6,10.1,14.1,18.8,-6.3,A,BL
J. Bellingham,BVB,14.1,14.1,14.0,15.3,,,,,,,0.6,-3.0,-0.4,22.7,14.1,8.3,-0.9,M,BL
J. Wind,WOB,14.0,14.9,8.0,13.2,,,,,,,-3.3,-4.0,-3.3,19.9,15.1,11.1,-14.4,A,BL
D. Doekhi,UBL,13.8,12.8,9.0,12.0,,,,,,,-1.8,-13.0,-2.5,13.2,15.5,7.9,15.3,F,BL
L. Barreiro Martins,M05,13.7,10.4,18.0,12.5,,,,,,,7.0,14.0,8.7,9.8,10.1,11.5,52.2,M,BL
R. Guerreiro,BVB,13.1,12.7,23.0,14.5,,,,,,,-1.1,2.0,-0.2,10.4,10.6,17.9,5.4,F,BL
F. Rønnow,UBL,12.6,12.2,18.0,12.4,,,,,,,-3.0,-13.0,-4.8,17.7,13.5,6.4,5.4,G,BL
J. Brandt,BVB,12.5,11.4,35.0,13.5,,,,,,,3.5,15.0,4.8,11.7,11.3,11.3,17.1,M,BL
J. Hofmann,BMG,11.8,12.2,6.0,11.2,,,,,,,1.7,-1.0,-0.5,13.6,11.8,11.7,-6.3,M,BL
H. Smolcic,FFM,11.7,11.5,1.0,10.3,,,,,,,-3.5,0.0,-3.9,15.8,13.1,5.8,3.6,F,BL
D. Da Costa,M05,11.4,7.7,17.0,9.8,,,,,,,7.0,15.0,8.8,3.2,6.0,13.4,58.5,F,BL
K. Behrens,UBL,11.1,10.8,7.0,9.8,,,,,,,-8.6,-17.0,-11.0,11.4,13.9,5.3,3.6,A,BL
J. Cancelo,BAY,10.9,11.4,13.0,11.6,,,,,,,0.1,-1.0,0.4,8.8,11.3,13.2,-7.2,F,BL
K. Itakura,BMG,10.7,10.8,6.0,9.5,,,,,,,1.3,-2.0,-0.3,12.6,11.6,8.3,-1.8,F,BL
M. Ingvartsen,M05,10.6,8.5,19.0,11.3,,,,,,,6.5,17.0,8.6,7.6,9.3,7.7,34.2,A,BL
L. Stindl,BMG,10.0,9.7,5.0,9.4,,,,,,,5.3,-3.0,4.4,10.4,10.5,7.9,5.4,M,BL
J. Frimpong,B04,10.0,9.6,7.0,7.1,,,,,,,-0.6,1.0,-1.7,8.5,8.8,11.7,5.4,F,BL
E. Tapsoba,B04,9.0,8.4,7.0,7.4,,,,,,,-0.6,-2.0,-0.5,5.0,8.2,10.9,10.8,F,BL
K. Trapp,FFM,8.7,8.9,8.0,9.5,,,,,,,-2.1,-8.0,-3.6,8.5,10.5,6.4,-2.7,G,BL
M. Götze,FFM,8.5,10.4,9.0,10.0,,,,,,,-3.0,-8.0,-3.5,9.1,12.0,8.7,-31.5,M,BL
S. Becker,UBL,8.3,8.3,5.0,7.4,,,,,,,-3.7,-7.0,-4.9,7.6,8.4,8.5,0.0,M,BL
N. Schlotterbeck,BVB,8.3,7.7,9.0,8.8,,,,,,,1.3,-2.0,1.6,8.2,7.3,8.1,9.0,F,BL
V. Grifo,SCF,8.0,7.8,12.0,9.2,,,,,,,0.8,3.0,0.8,8.2,8.2,7.0,1.8,M,BL
G. Reyna,BVB,7.8,9.6,3.0,8.9,,,,,,,-4.5,-9.0,-5.1,9.8,12.0,5.5,-28.8,M,BL
M. Reus,BVB,7.7,7.6,17.0,9.7,,,,,,,2.2,-2.0,2.3,5.7,7.1,9.8,1.8,M,BL
L. Höler,SCF,7.3,7.1,14.0,8.3,,,,,,,2.6,4.0,2.9,6.9,7.1,7.2,3.6,A,BL
M. Svanberg,WOB,7.1,7.0,3.0,6.2,,,,,,,-2.7,-5.0,-2.6,6.9,7.7,6.0,0.9,M,BL
A. Hlozek,B04,6.8,6.7,5.0,5.9,,,,,,,-1.5,-2.0,-2.5,4.4,7.4,7.0,1.8,A,BL
O. Christensen,BSC,6.7,6.8,1.0,4.9,,,,,,,0.4,1.0,-0.1,8.8,6.4,6.0,-0.9,G,BL
D. Sow,FFM,6.6,8.2,2.0,8.3,,,,,,,-1.8,-2.0,-1.8,11.7,9.6,3.6,-25.2,M,BL
L. Sane,BAY,6.6,6.8,5.0,5.6,,,,,,,-0.3,0.0,-0.3,6.6,6.4,7.7,-4.5,A,BL
J. Stage,WER,6.5,6.5,8.0,7.2,,,,,,,5.1,7.0,5.9,5.4,6.4,7.2,0.9,M,BL
K. Coman,BAY,6.4,4.1,3.0,4.7,,,,,,,1.1,1.0,1.5,5.7,4.5,2.1,37.8,A,BL
C. Trimmel,UBL,6.4,5.6,3.0,5.5,,,,,,,-2.0,-12.0,-2.9,5.7,6.8,3.6,11.7,F,BL
L. Ajorque,M05,5.7,4.9,12.0,5.5,,,,,,,3.7,11.0,4.2,1.6,3.7,9.4,12.6,A,BL
R. Bensebaini,BMG,5.7,6.0,0.0,4.7,,,,,,,-0.3,-1.0,-0.8,6.0,5.9,6.2,-4.5,F,BL
J. Chabot,KOE,5.7,6.2,2.0,5.6,,,,,,,0.3,-1.0,0.4,7.3,5.0,7.5,-8.1,F,BL
P. Wimmer,WOB,5.4,5.3,1.0,4.8,,,,,,,-2.0,-3.0,-1.5,4.1,5.8,5.3,0.9,M,BL
A. Maier,FCA,5.3,5.6,8.0,6.4,,,,,,,-1.0,-1.0,-0.4,3.8,4.8,8.3,-4.5,M,BL
H. Wolf,BMG,5.3,5.5,3.0,4.8,,,,,,,2.8,1.0,2.2,5.7,5.7,5.1,-2.7,M,BL
