team,player,pos,value [m],xP [k],xV [k],xP_gebyr [k],program,round,game
ACM,C. Tatarusanu,G,4.6,52.8,11.4,6.5,"GW1[a]TOT, ",2,CLK
ACM,A. Mirante,G,4.0,-5.0,-1.3,-45.0,"GW1[a]TOT, ",2,CLK
ACM,L. Nava,G,3.5,-5.0,-1.4,-40.0,"GW1[a]TOT, ",2,CLK
ACM,T. Hernandez,F,5.1,37.4,7.4,-13.4,"GW1[a]TOT, ",2,CLK
ACM,D. Calabria,F,4.5,0.0,0.0,-45.0,"GW1[a]TOT, ",2,CLK
ACM,P. Kalulu,F,4.1,23.9,5.8,-17.1,"GW1[a]TOT, ",2,CLK
ACM,F. Tomori,F,4.0,0.0,0.0,-40.0,"GW1[a]TOT, ",2,CLK
ACM,A. Florenzi,F,3.5,0.0,0.0,-35.0,"GW1[a]TOT, ",2,CLK
ACM,S. Kjær,F,3.1,19.5,6.3,-11.5,"GW1[a]TOT, ",2,CLK
ACM,M. Gabbia,F,3.0,0.0,0.0,-30.0,"GW1[a]TOT, ",2,CLK
ACM,F. Ballo-Toure,F,2.5,0.0,0.0,-25.0,"GW1[a]TOT, ",2,CLK
ACM,M. Thiaw,F,2.1,22.0,10.5,1.1,"GW1[a]TOT, ",2,CLK
ACM,A. Coubis,F,2.0,0.0,0.0,-20.0,"GW1[a]TOT, ",2,CLK
ACM,B. Diaz,M,4.2,28.0,6.6,-14.3,"GW1[a]TOT, ",2,CLK
ACM,A. Saelemaekers,M,4.0,14.6,3.6,-25.8,"GW1[a]TOT, ",2,CLK
ACM,S. Tonali,M,4.0,17.2,4.3,-23.0,"GW1[a]TOT, ",2,CLK
ACM,I. Bennacer,M,3.5,0.0,0.0,-35.0,"GW1[a]TOT, ",2,CLK
ACM,R. Krunic,M,3.0,9.8,3.2,-20.6,"GW1[a]TOT, ",2,CLK
ACM,T. Pobega,M,3.0,0.0,0.0,-30.3,"GW1[a]TOT, ",2,CLK
ACM,A. Gala,M,2.0,0.0,0.0,-20.0,"GW1[a]TOT, ",2,CLK
ACM,R. Leão,A,6.6,39.5,6.0,-26.2,"GW1[a]TOT, ",2,CLK
ACM,O. Giroud,A,6.0,59.6,9.9,-0.8,"GW1[a]TOT, ",2,CLK
ACM,C. De Ketelaere,A,4.0,0.0,0.0,-40.4,"GW1[a]TOT, ",2,CLK
ACM,A. Rebic,A,4.0,0.0,0.0,-40.3,"GW1[a]TOT, ",2,CLK
ACM,J. Messias,A,4.0,0.0,0.0,-40.3,"GW1[a]TOT, ",2,CLK
ACM,D. Origi,A,3.0,0.0,0.0,-30.0,"GW1[a]TOT, ",2,CLK
BAY,Y. Sommer,G,5.1,66.3,12.9,14.9,"GW1[h]PSG, ",2,CLK
BAY,M. Neuer,G,5.0,-1.5,-0.3,-51.5,"GW1[h]PSG, ",2,CLK
BAY,S. Ulreich,G,4.5,-4.1,-0.9,-49.1,"GW1[h]PSG, ",2,CLK
BAY,J. Schenk,G,4.0,-5.0,-1.3,-45.0,"GW1[h]PSG, ",2,CLK
BAY,A. Davies,F,5.1,0.0,0.0,-51.0,"GW1[h]PSG, ",2,CLK
BAY,M. de Ligt,F,5.1,38.9,7.6,-12.0,"GW1[h]PSG, ",2,CLK
BAY,D. Upamecano,F,5.1,35.7,7.0,-15.3,"GW1[h]PSG, ",2,CLK
BAY,B. Pavard,F,5.1,41.8,8.2,-8.9,"GW1[h]PSG, ",2,CLK
