team,player,pos,value [m],xV GW1 [k],xV GW1-3 [k],xV GW1-5 [k],xV seas [k],xP%gebyr_GW_1-3 [k],xP_GW_1-3 [k],xG_GW_1-3,xGI_GW_1-3,xP_GW1 [k],xV GW1 [k],xP%gebyr_GW1 [k],xG_GW1,xGI_GW1,xP%gebyr_GW_1-5 [k],xP_GW_1-5 [k],xG_GW_1-5,xGI_GW_1-5,xP_GW_all [k],xG_GW_all,xGI_GW_all,xP%gebyr_GW_all [k],sp_GW1,xGP,pop,xG%,xA%,game
ACM,C. Tatarusanu,G,4.6,11.4,3.8,2.3,1.9,6.5,52.8,0.0,0.0,52.8,11.4,6.5,0.0,0.0,6.5,52.8,0.0,0.0,52.8,0.0,0.0,6.5,0.95,0.95,2.45,0.0,0.0,CLK
ACM,A. Mirante,G,4.0,-1.3,-0.4,-0.3,-0.2,-45.0,-5.0,0.0,0.0,-5.0,-1.3,-45.0,0.0,0.0,-45.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,CLK
ACM,L. Nava,G,3.5,-1.4,-0.5,-0.3,-0.2,-40.0,-5.0,0.0,0.0,-5.0,-1.4,-40.0,0.0,0.0,-40.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,CLK
ACM,T. Hernandez,F,5.1,7.4,2.5,1.5,1.2,-13.4,37.4,0.08,0.15,37.4,7.4,-13.4,0.08,0.15,-13.4,37.4,0.08,0.15,37.4,0.08,0.15,-13.4,0.95,0.95,3.16,0.09,0.12,CLK
ACM,D. Calabria,F,4.5,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,,,0.13,0.05,0.06,CLK
ACM,P. Kalulu,F,4.1,5.8,1.9,1.2,1.0,-17.1,23.9,0.02,0.05,23.9,5.8,-17.1,0.02,0.05,-17.1,23.9,0.02,0.05,23.9,0.02,0.05,-17.1,0.95,0.95,0.52,0.03,0.05,CLK
ACM,F. Tomori,F,4.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,,,0.07,0.02,0.05,CLK
ACM,A. Florenzi,F,3.5,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,,,0.0,0.03,0.19,CLK
ACM,S. Kjær,F,3.1,6.3,2.1,1.3,1.0,-11.5,19.5,0.01,0.02,19.5,6.3,-11.5,0.01,0.02,-11.5,19.5,0.01,0.02,19.5,0.01,0.02,-11.5,0.95,0.95,4.52,0.02,0.02,CLK
ACM,M. Gabbia,F,3.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,,,0.0,0.01,0.02,CLK
ACM,F. Ballo-Toure,F,2.5,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,,,0.0,0.02,0.05,CLK
ACM,M. Thiaw,F,2.1,10.5,3.5,2.1,1.8,1.1,22.0,0.03,0.05,22.0,10.5,1.1,0.03,0.05,1.1,22.0,0.03,0.05,22.0,0.03,0.05,1.1,0.95,0.95,19.34,0.03,0.03,CLK
ACM,A. Coubis,F,2.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,,,0.0,0.02,0.04,CLK
ACM,B. Diaz,M,4.2,6.6,2.2,1.3,1.1,-14.3,28.0,0.09,0.18,28.0,6.6,-14.3,0.09,0.18,-14.3,28.0,0.09,0.18,28.0,0.09,0.18,-14.3,0.95,0.95,7.35,0.1,0.15,CLK
ACM,A. Saelemaekers,M,4.0,3.6,1.2,0.7,0.6,-25.8,14.6,0.04,0.08,14.6,3.6,-25.8,0.04,0.08,-25.8,14.6,0.04,0.08,14.6,0.04,0.08,-25.8,0.95,0.95,0.9,0.05,0.07,CLK
ACM,S. Tonali,M,4.0,4.3,1.4,0.9,0.7,-23.0,17.2,0.05,0.12,17.2,4.3,-23.0,0.05,0.12,-23.0,17.2,0.05,0.12,17.2,0.05,0.12,-23.0,0.95,0.95,1.61,0.06,0.12,CLK
ACM,I. Bennacer,M,3.5,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,,,0.19,0.02,0.06,CLK
ACM,R. Krunic,M,3.0,3.2,1.1,0.6,0.5,-20.6,9.8,0.02,0.05,9.8,3.2,-20.6,0.02,0.05,-20.6,9.8,0.02,0.05,9.8,0.02,0.05,-20.6,0.95,0.95,2.26,0.02,0.06,CLK
ACM,T. Pobega,M,3.0,0.0,0.0,0.0,0.0,-30.3,0.0,0.0,0.0,0.0,0.0,-30.3,0.0,0.0,-30.3,0.0,0.0,0.0,0.0,0.0,0.0,-30.3,,,0.13,0.1,0.07,CLK
ACM,A. Gala,M,2.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,,,0.0,0.09,0.16,CLK
ACM,R. Leão,A,6.6,6.0,2.0,1.2,1.0,-26.2,39.5,0.16,0.25,39.5,6.0,-26.2,0.16,0.25,-26.2,39.5,0.16,0.25,39.5,0.16,0.25,-26.2,0.95,0.95,3.55,0.19,0.15,CLK
ACM,O. Giroud,A,6.0,9.9,3.3,2.0,1.6,-0.8,59.6,0.27,0.36,59.6,9.9,-0.8,0.27,0.36,-0.8,59.6,0.27,0.36,59.6,0.27,0.36,-0.8,0.95,0.95,9.81,0.31,0.15,CLK
ACM,C. De Ketelaere,A,4.0,0.0,0.0,0.0,0.0,-40.4,0.0,0.0,0.0,0.0,0.0,-40.4,0.0,0.0,-40.4,0.0,0.0,0.0,0.0,0.0,0.0,-40.4,,,0.32,0.12,0.1,CLK
ACM,A. Rebic,A,4.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,0.0,-40.3,,,0.26,0.15,0.12,CLK
