team,player,pos,value [m],StartsIARow,gs%,gp%,sp_GW1,sp_GW2,sp_GW3,xGS,game
Augsburg,Rafal Gikiewicz,G,3.9,0.0,0.77,0.77,0.98,0.98,0.98,11.76,BL
Augsburg,Iago,F,2.5,0.0,0.59,0.64,0.95,0.66,0.66,8.26,BL
Augsburg,Jeffrey Gouweleeuw,F,2.7,0.0,0.91,0.91,0.95,0.8,0.8,9.75,BL
Augsburg,Robert Gumny,F,3.2,0.0,0.68,0.77,0.95,0.8,0.8,9.75,BL
Augsburg,Renato Veiga,M,2.0,0.0,0.09,0.09,0.95,0.95,0.95,11.4,BL
Augsburg,Arne Engels,M,2.6,0.0,0.27,0.27,0.86,0.73,0.73,8.92,BL
Augsburg,Arne Maier,M,2.7,0.0,0.55,0.77,0.95,0.8,0.8,9.75,BL
Augsburg,Niklas Dorsch,M,3.0,0.0,0.0,0.18,0.95,0.66,0.66,8.26,BL
Augsburg,Dion Beljo,A,2.1,0.0,0.23,0.27,0.7,0.61,0.61,7.44,BL
Augsburg,Mergim Berisha,A,4.0,0.0,0.68,0.68,0.95,0.78,0.78,9.59,BL
Augsburg,Ermedin Demirovic,A,4.2,0.0,0.91,0.91,0.95,0.78,0.78,9.59,BL
Bayern München,Yann Sommer,G,5.4,0.0,0.73,0.73,0.98,0.98,0.98,11.76,BL
Bayern München,Dayot Upamecano,F,4.6,0.0,0.91,0.91,0.86,0.72,0.72,8.76,BL
Bayern München,Alphonso Davies,F,5.0,0.0,0.77,0.82,0.95,0.78,0.78,9.59,BL
Bayern München,Matthijs de Ligt,F,5.3,0.0,0.64,0.82,0.95,0.78,0.78,9.59,BL
Bayern München,Benjamin Pavard,F,5.4,0.0,0.73,0.82,0.95,0.78,0.78,9.59,BL
Bayern München,Leon Goretzka,M,6.6,0.0,0.64,0.73,0.75,0.65,0.65,7.85,BL
Bayern München,Joshua Kimmich,M,6.8,0.0,0.86,0.91,0.95,0.78,0.78,9.59,BL
Bayern München,Kingsley Coman,A,6.8,0.0,0.32,0.64,0.95,0.75,0.75,9.21,BL
Bayern München,Thomas Müller,A,7.8,0.0,0.5,0.64,0.95,0.78,0.78,9.59,BL
Bayern München,Eric Maxim Choupo-Moting,A,8.0,0.0,0.5,0.68,0.95,0.78,0.2,3.74,BL
Bayern München,Jamal Musiala,A,9.0,0.0,0.77,0.91,0.95,0.78,0.78,9.59,BL
Bochum,Manuel Riemann,G,3.6,0.0,0.95,0.95,0.98,0.98,0.98,11.76,BL
Bochum,Danilo Soares,F,2.5,0.0,0.68,0.68,0.95,0.78,0.78,9.59,BL
Bochum,Saidy Janko,F,2.5,0.0,0.36,0.59,0.7,0.63,0.63,7.6,BL
Bochum,Ivan Ordets,F,2.5,0.0,0.77,0.86,0.95,0.78,0.78,9.59,BL
Bochum,Erhan Masovic,F,2.8,0.0,0.45,0.73,0.95,0.78,0.78,9.59,BL
Bochum,Takuma Asano,M,2.7,0.0,0.41,0.55,0.86,0.72,0.72,8.76,BL
Bochum,Kevin Stöger,M,3.0,0.0,0.82,0.91,0.95,0.78,0.78,9.59,BL
Bochum,Pierre Kunde Malong,M,3.1,0.0,0.09,0.18,0.9,0.9,0.9,10.83,BL
Bochum,Philipp Förster,M,3.4,0.0,0.5,0.77,0.75,0.65,0.65,7.85,BL
Bochum,Christopher Antwi-Adjei,M,3.8,0.0,0.41,0.73,0.95,0.78,0.78,9.59,BL
Bochum,Philipp Hofmann,A,3.4,0.0,0.82,0.95,0.95,0.8,0.8,9.75,BL
Borussia Dortmund,Gregor Kobel,G,6.3,0.0,0.77,0.77,0.98,0.98,0.98,11.76,BL
Borussia Dortmund,Julian Ryerson,F,4.0,0.0,0.77,0.82,0.95,0.78,0.78,9.59,BL
Borussia Dortmund,Niklas Süle,F,5.1,0.0,0.59,0.82,0.95,0.78,0.78,9.59,BL
Borussia Dortmund,Nico Schlotterbeck,F,5.5,0.0,0.95,0.95,0.95,0.8,0.8,9.75,BL
Borussia Dortmund,Salih Özcan,M,3.8,0.0,0.68,0.77,0.7,0.61,0.61,7.44,BL
Borussia Dortmund,Emre Can,M,4.4,0.0,0.36,0.68,0.86,0.72,0.72,8.76,BL
Borussia Dortmund,Marius Wolf,M,4.8,0.0,0.36,0.64,0.75,0.65,0.65,7.85,BL
Borussia Dortmund,Marco Reus,M,6.5,0.0,0.45,0.59,0.95,0.78,0.78,9.59,BL
Borussia Dortmund,Jude Bellingham,M,6.6,0.0,0.86,0.91,0.95,0.78,0.78,9.59,BL
