team_short,xp/mio GW1-3 [k],xp/mio GW1 [k],xCS_GW1-3,xG_GW1-3,xp/player GW1-3 [k],program,xp/player_seas [k],xCS_GW1,xG_GW1,xCS_seas,xG_seas,xp/mio_seas [k],APP [m],game
M05,12.5,14.9,0.94,4.63,44.3,"GW1[h]HOF, GW2[a]BSC, GW3[h]SCF, GW4[a]RBL, GW5[h]WER, ",35.9,0.35,1.61,3.01,17.67,10.1,3.5,BL
BAY,11.1,11.9,1.22,7.68,71.6,"GW1[a]VFB, GW2[h]FCA, GW3[a]B04, GW4[h]BVB, GW5[a]SCF, ",65.8,0.43,2.29,4.59,31.6,10.2,6.4,BL
B04,10.1,15.9,0.83,4.75,43.0,"GW1[h]BSC, GW2[a]WER, GW3[h]BAY, GW4[a]S04, GW5[h]FFM, ",41.2,0.44,1.86,3.42,18.7,9.6,4.3,BL
RBL,9.6,6.3,1.01,5.55,53.1,"GW1[a]BVB, GW2[h]BMG, GW3[a]BOC, GW4[h]M05, GW5[a]BSC, ",53.2,0.21,1.29,4.17,22.69,9.6,5.5,BL
UBL,9.3,12.6,1.15,3.51,40.2,"GW1[h]KOE, GW2[a]WOB, GW3[h]FFM, GW4[h]VFB, GW5[a]BVB, ",37.4,0.48,1.33,4.0,14.93,8.7,4.3,BL
BVB,9.3,8.5,1.05,5.28,52.6,"GW1[h]RBL, GW2[a]S04, GW3[h]KOE, GW4[a]BAY, GW5[h]UBL, ",49.7,0.28,1.54,3.65,22.02,8.8,5.7,BL
KOE,9.0,5.4,0.84,3.37,32.8,"GW1[a]UBL, GW2[h]BOC, GW3[a]BVB, GW4[h]BMG, GW5[a]FCA, ",33.1,0.27,0.74,3.13,15.87,9.1,3.6,BL
HOF,8.6,6.8,0.72,3.77,29.5,"GW1[a]M05, GW2[a]SCF, GW3[h]BSC, GW4[a]WER, GW5[h]S04, ",25.6,0.2,1.06,2.49,15.05,7.5,3.4,BL
BOC,8.3,13.4,0.64,3.22,25.1,"GW1[h]S04, GW2[a]KOE, GW3[h]RBL, GW4[a]FFM, GW5[h]VFB, ",23.2,0.33,1.3,2.19,13.86,7.7,3.0,BL
FFM,8.3,7.9,0.97,3.73,37.4,"GW1[a]WOB, GW2[h]VFB, GW3[a]UBL, GW4[h]BOC, GW5[a]B04, ",40.3,0.28,1.19,3.51,17.62,8.9,4.5,BL
WOB,8.2,9.0,0.93,3.83,35.7,"GW1[h]FFM, GW2[h]UBL, GW3[a]VFB, GW4[h]FCA, GW5[a]BMG, ",40.5,0.31,1.28,3.44,18.71,9.3,4.4,BL
FCA,8.0,13.2,0.69,3.47,23.8,"GW1[h]WER, GW2[a]BAY, GW3[h]S04, GW4[a]WOB, GW5[h]KOE, ",21.3,0.3,1.35,2.41,13.91,7.1,3.0,BL
WER,7.9,8.7,0.63,3.73,30.2,"GW1[a]FCA, GW2[h]B04, GW3[a]BMG, GW4[h]HOF, GW5[a]M05, ",25.2,0.26,1.2,2.46,14.21,6.6,3.8,BL
BMG,7.7,8.6,0.69,4.01,35.4,"GW1[h]SCF, GW2[a]RBL, GW3[h]WER, GW4[a]KOE, GW5[h]WOB, ",32.3,0.28,1.37,2.59,17.45,7.1,4.6,BL
S04,7.6,10.5,0.67,3.06,21.7,"GW1[a]BOC, GW2[h]BVB, GW3[a]FCA, GW4[h]B04, GW5[a]HOF, ",19.0,0.27,1.11,2.52,12.06,6.7,2.8,BL
SCF,7.0,7.1,0.77,4.09,34.9,"GW1[a]BMG, GW2[h]HOF, GW3[a]M05, GW4[h]BSC, GW5[h]BAY, ",33.8,0.26,1.26,2.98,16.78,6.8,5.0,BL
